productSKU,total_ordered,name,stocklevel,restockingleadtime,sentimentscore,sentimentmagnitiude,ratio
GGOEGODR017799_,0,no name,0,0,0,0,0.0222095671981777
GGOEGOCR078499_,0,no name,0,0,0,0,0.0066815144766147
GGOEGOCR017899_,0,no name,0,0,0,0,0.00603015075376884
GGOEGOCL077699_,0,no name,0,0,0,0,0.00921234454168586
GGOEGOCD078399_,0,no name,0,0,0,0,0.0298850574712644
GGOEGOCC077999_,0,no name,0,0,0,0,0.0621251071122536
GGOEGOCC077299_,0,no name,0,0,0,0,0.00669249735822473
GGOEGOCB078299_,0,no name,0,0,0,0,0.706214689265537
GGOEGOCB017499_,0,no name,0,0,0,0,0.0640819606267577
GGOEGOBG023599_,0,no name,0,0,0,0,0.00817438692098093
GGOEGOBC078699_,0,no name,0,0,0,0,0.00841514726507714
GGOEGOAR013599_,0,no name,0,0,0,0,0
GGOEGOAR013099_,0,no name,0,0,0,0,0.000924214417744917
GGOEGOAQ020099_,0,no name,0,0,0,0,0.00897959183673469
GGOEGOAQ018099_,0,no name,0,0,0,0,0.00154718927282104
GGOEGOAQ012899_,0,no name,0,0,0,0,0.217349857006673
GGOEGOAJ021599_,0,no name,0,0,0,0,0
GGOEGOAB022499_,0,no name,0,0,0,0,0.220125786163522
GGOEGOAB021499_,0,no name,0,0,0,0,0.0619354838709677
GGOEGOAA017199_,0,no name,0,0,0,0,0
GGOEGKWR060810_,0,no name,0,0,0,0,0.159090909090909
GGOEGKWQ060910_,0,no name,0,0,0,0,0.0603448275862069
GGOEGKAA019299_,0,no name,0,0,0,0,0.0876288659793814
GGOEGHPL003214_,0,no name,0,0,0,0,0
GGOEGHPJ080310_,0,no name,0,0,0,0,0.455421686746988
GGOEGHPJ080110_,0,no name,0,0,0,0,0
GGOEGHPB080410_,0,no name,0,0,0,0,0.0319634703196347
GGOEGHPB071610_,0,no name,0,0,0,0,0.00170940170940171
GGOEGHPB003410_,0,no name,0,0,0,0,0.00952380952380952
GGOEGHGT019599_,0,no name,0,0,0,0,0.0372340425531915
GGOEGHGR019499_,0,no name,0,0,0,0,0.0217573221757322
GGOEGHGH019699_,0,no name,0,0,0,0,0.00671140939597315
GGOEGHGC019799_,0,no name,0,0,0,0,0.0143207855973813
GGOEGGOA017399_,0,no name,0,0,0,0,0.00925925925925926
GGOEGGCX056499_,0,no name,0,0,0,0,0
GGOEGGCX056399_,0,no name,0,0,0,0,0
GGOEGGCX056299_,0,no name,0,0,0,0,0.0467289719626168
GGOEGGCX056199_,0,no name,0,0,0,0,0.012987012987013
GGOEGFYQ016599_,0,no name,0,0,0,0,0.0562847608453838
GGOEGFSR022099_,0,no name,0,0,0,0,0.004149377593361
GGOEGFQB013799_,0,no name,0,0,0,0,0.0168350168350168
GGOEGFKQ020799_,0,no name,0,0,0,0,0.0163461538461538
GGOEGFKQ020399_,0,no name,0,0,0,0,0.00857519788918206
GGOEGFKA022299_,0,no name,0,0,0,0,0.28042328042328
GGOEGFAQ016699_,0,no name,0,0,0,0,0.0288713910761155
GGOEGEVB070599_,0,no name,0,0,0,0,0
GGOEGEVA022399_,0,no name,0,0,0,0,0.0170940170940171
GGOEGETR014599_,0,no name,0,0,0,0,0.0138888888888889
GGOEGETB023799_,0,no name,0,0,0,0,0.266666666666667
