fullvisitorid,channelgrouping,time,country,city,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productquantity,productprice,productrevenue,productsku,v2productname,v2productcategory,productvariant,currencycode,transactionrevenue,transactionid,pagetitle,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option,totaltransactionrevenue
8994817452436048529,Direct,32069,Spain,Madrid,0,172,9,0,2017-02-09,1486634155,PAGE,0,9990000,0,GGOEGDHG014499,Google Infuser-Top Water Bottle,Home/Shop by Brand/Google/,no data,USD,0,no data,Google | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
0648674721276635715,Direct,22961,United States,San Jose,0,90,5,0,2016-10-23,1477246634,PAGE,0,28990000,0,GGOEGOAB021499,Metal Texture Roller Pen,Home/Office/,no data,USD,0,no data,Office | Google Merchandise Store,/google+redesign/,0,1,no data,0
6544350998592705377,Affiliates,145461,Canada,Toronto,0,153,6,0,2016-11-23,1479911589,PAGE,0,1500000,0,GGOEGODR017799,Recycled Mouse Pad,Home/Electronics/Electronics Accessories/,no data,USD,0,no data,Accessories | Electronics | Google Merchandise Store,/google+redesign/,0,1,no data,0
7389317125178772513,Paid Search,22411,United States,no data available in demo dataset,0,22,3,0,2016-10-04,1475640349,PAGE,0,16990000,0,GGOEGAAX0106,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Home/Apparel/Men's/,no data,USD,0,no data,Men's,/google+redesign/,0,1,no data,0
9903007678802808569,Affiliates,232330,Germany,no data available in demo dataset,0,249,6,0,2016-08-05,1470383761,PAGE,0,9990000,0,GGOEGAYR023499,Straw Beach Mat,Home/Lifestyle/,no data,USD,0,no data,Lifestyle,/google+redesign/,0,1,no data,0
8497329989200521629,Direct,118906,Japan,no data available in demo dataset,0,136,7,0,2016-10-25,1477464249,PAGE,0,1990000,0,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Home/Accessories/Stickers/,no data,USD,0,no data,Stickers | Accessories | Google Merchandise Store,/google+redesign/,0,1,no data,0
4939146698336996390,Organic Search,1751,United States,Mountain View,0,2,3,1,2017-08-01,1501624315,PAGE,0,2990000,0,GGOEADHH055999,22 oz Android Bottle,Home/Shop by Brand/Android/,no data,USD,0,no data,Android | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
3919725197992371578,Organic Search,72048,United States,Mountain View,0,139,12,0,2016-09-06,1473179448,PAGE,0,1990000,0,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,no data,no data,USD,0,no data,Store search results,/asearch.html,0,1,no data,0
9998297178122818269,Organic Search,78261,Bangladesh,no data available in demo dataset,0,166,7,0,2017-01-30,1485781206,PAGE,0,98990000,0,GGOEGAAX0607,Google Women's Convertible Vest-Jacket Sea Foam Green,Home/Apparel/Women's/Women's-Outerwear/,no data,USD,0,no data,Women's Outerwear | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
466087672148830480,Direct,25449,United States,no data available in demo dataset,0,25,2,0,2017-05-08,1494305239,PAGE,0,34990000,0,GGOEGEVR014999,Google Water Resistant Bluetooth Speaker,Home/Electronics/Audio/,no data,USD,0,no data,Audio | Electronics | Google Merchandise Store,/google+redesign/,0,1,no data,0
9951855625067378259,Organic Search,12009,United States,no data available in demo dataset,0,160,7,0,2017-02-11,1486874508,PAGE,0,2990000,0,GGOEADHH055999,22 oz Android Bottle,Home/Shop by Brand/Android/,no data,USD,0,no data,Android | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
958685234964867325,Direct,576083,United States,San Francisco,0,576,6,0,2016-11-24,1480012375,PAGE,0,27990000,0,GGOEGEVB071799,Google Pocket Bluetooth Speaker,Home/Electronics/Audio/,no data,USD,0,no data,Audio | Electronics | Google Merchandise Store,/google+redesign/,0,1,no data,0
6977819921353188739,Direct,0,United States,Houston,0,115,5,0,2017-05-26,1495820555,PAGE,0,18990000,0,GGOEGAAX0340,Google Men's Vintage Badge Tee Sage,Home/Apparel/Men's/,no data,USD,0,no data,Men's Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
86382053515995633,Organic Search,16781,United States,San Francisco,1,332,11,0,2016-12-20,1482295037,EVENT,0,19990000,0,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Home/Drinkware/Water Bottles and Tumblers/,no data,no data,0,no data,Water Bottles & Tumblers | Drinkware | Google Merchandise Store,/store.html,1,1,no data,108140000
1112657102058195092,Organic Search,57527,United States,Los Angeles,0,386,14,0,2016-08-05,1470431422,PAGE,0,16990000,0,GGOEGAAX0654,Google Toddler Short Sleeve T-shirt Yellow,Home/Shop by Brand/Google/,no data,USD,0,no data,Google,/google+redesign/,0,1,no data,0
3943041047524533750,Referral,134125,United States,New York,0,300,17,0,2016-08-09,1470794789,PAGE,0,73990000,0,GGOEGEHB071499,Google PowerKit,Home/Electronics/,no data,USD,0,no data,Electronics,/google+redesign/,0,1,no data,0
3608196374724519087,Organic Search,888532,United States,Mountain View,0,908,5,0,2016-08-01,1470074964,PAGE,0,4990000,0,GGOEGESC014099,Rocket Flashlight,Home/Electronics/,no data,USD,0,no data,Electronics,/google+redesign/,0,1,no data,0
1450999263893230878,Organic Search,0,Germany,no data available in demo dataset,0,0,1,0,2017-05-21,1495351309,PAGE,0,20990000,0,GGOEGAAX0356,YouTube Men's Vintage Tank,Home/Shop by Brand/YouTube/,no data,USD,0,no data,YouTube | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
